time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.000000000000000000e+00,2.000000000000000355e+01,5.000000000000002665e+00,5.000000000000002665e+00,-6.426139076813021920e-14,1.684804960098002062e-14,1.684804961655159531e-14
1.000000000000000021e-02,1.999984140368344399e+01,4.999989331712188623e+00,4.999989331712190399e+00,-3.171926331216986389e-03,-2.133657562744085501e-04,-2.133657562331942308e-04
2.000000000000000042e-02,1.999968280736688797e+01,4.999978663424373693e+00,4.999978663424378134e+00,-6.343852662369710814e-03,-4.267315125656651140e-04,-4.267315124832364755e-04
2.999999999999999889e-02,1.999952421105032840e+01,4.999967995136559651e+00,4.999967995136564980e+00,-9.515778993522435239e-03,-6.400972688569215967e-04,-6.400972687332786388e-04
4.000000000000000083e-02,1.999936561473377239e+01,4.999957326848744721e+00,4.999957326848752714e+00,-1.268770532467516053e-02,-8.534630251481782962e-04,-8.534630249833210190e-04
5.000000000000000278e-02,1.999920701841721282e+01,4.999946658560930679e+00,4.999946658560940449e+00,-1.585963165582788409e-02,-1.066828781439434779e-03,-1.066828781233363291e-03
5.999999999999999778e-02,1.999904842210065681e+01,4.999935990273115749e+00,4.999935990273128184e+00,-1.903155798698060938e-02,-1.280194537730691261e-03,-1.280194537483405346e-03
7.000000000000000666e-02,1.999888982578409724e+01,4.999925321985301707e+00,4.999925321985315918e+00,-2.220348431813333467e-02,-1.493560294021948178e-03,-1.493560293733447834e-03
8.000000000000000167e-02,1.999873122946754123e+01,4.999914653697486777e+00,4.999914653697502764e+00,-2.537541064928605997e-02,-1.706926050313204660e-03,-1.706926049983490106e-03
8.999999999999999667e-02,1.999857263315098166e+01,4.999903985409672735e+00,4.999903985409690499e+00,-2.854733698043878179e-02,-1.920291806604461143e-03,-1.920291806233532161e-03
1.000000000000000056e-01,1.999841403683442564e+01,4.999893317121857805e+00,4.999893317121878233e+00,-3.171926331159150708e-02,-2.133657562895717626e-03,-2.133657562483574650e-03
