time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.0,20.000000000000004,5.000000000000003,5.000000000000003,-6.426139076813022e-14,1.684804960098002e-14,1.6848049616551595e-14,-2.97508798262,8.358404751232561e-16,8.358404758819389e-16
0.01,19.999841403683444,4.999989331712189,4.99998933171219,-0.0031719263312169864,-0.00021336575627440855,-0.00021336575623319423,-2.9205146859324356,-0.004267315125830959,-0.004267315125006674
0.02,19.999682807366888,4.999978663424374,4.999978663424378,-0.006343852662369711,-0.0004267315125656651,-0.0004267315124832365,-2.8659413892448713,-0.008534630251662755,-0.008534630250014184
0.03,19.99952421105033,4.99996799513656,4.999967995136565,-0.009515778993522435,-0.0006400972688569216,-0.0006400972687332786,-2.811368092557307,-0.012801945377494548,-0.012801945375021695
0.04,19.999365614733772,4.999957326848745,4.999957326848753,-0.01268770532467516,-0.0008534630251481783,-0.000853463024983321,-2.7567947958697427,-0.017069260503326345,-0.017069260500029205
0.05,19.999207018417213,4.999946658560931,4.9999466585609404,-0.015859631655827884,-0.0010668287814394348,-0.0010668287812333633,-2.7022214991821785,-0.02133657562915814,-0.021336575625036717
0.06,19.999048422100657,4.999935990273116,4.999935990273128,-0.01903155798698061,-0.0012801945377306913,-0.0012801945374834053,-2.647648202494614,-0.025603890754989932,-0.025603890750044225
0.07,19.998889825784097,4.999925321985302,4.999925321985316,-0.022203484318133335,-0.0014935602940219482,-0.0014935602937334478,-2.5930749058070495,-0.02987120588082173,-0.029871205875051737
0.08,19.99873122946754,4.999914653697487,4.999914653697503,-0.02537541064928606,-0.0017069260503132047,-0.00170692604998349,-2.5385016091194856,-0.03413852100665353,-0.03413852100005925
0.09,19.99857263315098,4.999903985409673,4.9999039854096905,-0.028547336980438782,-0.0019202918066044611,-0.0019202918062335322,-2.483928312431921,-0.03840583613248532,-0.03840583612506676
0.1,19.998414036834426,4.999893317121858,4.999893317121878,-0.03171926331159151,-0.0021336575628957176,-0.0021336575624835746,-2.4293550157443566,-0.04267315125831712,-0.04267315125007427
0.11,19.998255440517866,4.999882648834044,4.999882648834066,-0.03489118964274423,-0.0023470233191869743,-0.002347023318733617,-2.3747817190567924,-0.046940466384148914,-0.04694046637508178
0.12,19.99809684420131,4.999871980546229,4.999871980546254,-0.03806311597389696,-0.0025603890754782306,-0.0025603890749836588,-2.320208422369228,-0.051207781509980704,-0.05120778150008929
0.13,19.99793824788475,4.999861312258415,4.999861312258441,-0.04123504230504968,-0.0027737548317694877,-0.0027737548312337015,-2.265635125681664,-0.0554750966358125,-0.0554750966250968
