# GFOLD Solver Information
parameter,value
r_initial_x,10.000000
r_initial_y,0.000000
r_initial_z,0.000000
v_initial_x,0.000000
v_initial_y,0.000000
v_initial_z,0.000000
r_target_x,0.000000
r_target_y,0.000000
r_target_z,0.000000
v_target_x,0.000000
v_target_y,0.000000
v_target_z,0.000000
flight_time,7.992000
v_max,100.000000
g_max,10.000000
feastol,1.00e-04
abstol,1.00e-04
reltol,1.00e-04
status_code,0
feasible,true
iterations,9
solve_time_ms,12.998500
primal_residual,2.827125e-05
dual_residual,4.867285e-07
objective,5.255733
