time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,thrust_force_x,thrust_force_y,thrust_force_z,thrust_force_mag,thrust_slack,mass
0.000000,10.000000,0.000000,-0.000001,-0.000000,0.000000,-0.000002,-0.000000,0.000000,9.974710,-0.000000,-0.000000,3.141593,-0.000000,0.000000,1994.906575,1994.906575,9.974717,199.996439
0.067160,9.999887,0.000000,0.000359,-0.003353,0.000000,0.010956,-0.099834,0.000000,9.964982,-0.000000,-0.010018,3.141593,-19.959324,0.000000,1992.254043,1992.354021,9.993960,199.925508
0.134319,9.999405,0.000000,0.001436,-0.011014,0.000000,0.021352,-0.128331,0.000000,9.957941,-0.000000,-0.012887,3.141593,-25.647502,0.000000,1990.139843,1990.305099,9.995001,199.854547
0.201479,9.998343,0.000000,0.003199,-0.020615,0.000000,0.031288,-0.157582,0.000000,9.951296,-0.000000,-0.015834,3.141593,-31.482273,0.000000,1988.106429,1988.355679,9.996339,199.783669
0.268639,9.996569,0.000000,0.005616,-0.032198,0.000000,0.040791,-0.187345,0.000000,9.945011,-0.000000,-0.018836,3.141593,-37.415145,0.000000,1986.146803,1986.499186,9.998125,199.712881
0.335798,9.993950,0.000000,0.008658,-0.045809,0.000000,0.049881,-0.217992,0.000000,9.939016,-0.000000,-0.021929,3.141593,-43.520374,0.000000,1984.246690,1984.723897,10.000497,199.642173
0.402958,9.990345,0.000000,0.012299,-0.061530,0.000000,0.058574,-0.250174,0.000000,9.933177,-0.000000,-0.025180,3.141593,-49.927511,0.000000,1982.379439,1983.008068,10.003526,199.571532
0.470118,9.985610,0.000000,0.016510,-0.079483,0.000000,0.066873,-0.284454,0.000000,9.927258,-0.000000,-0.028646,3.141593,-56.748877,0.000000,1980.497391,1981.310261,10.007150,199.500946
0.537277,9.979589,0.000000,0.021266,-0.099819,0.000000,0.074759,-0.321169,0.000000,9.920896,-0.000000,-0.032362,3.141593,-64.050773,0.000000,1978.528330,1979.564815,10.011162,199.430403
0.604437,9.972117,0.000000,0.026535,-0.122706,0.000000,0.082187,-0.360398,0.000000,9.913640,-0.000000,-0.036338,3.141593,-71.848953,0.000000,1976.382307,1977.687866,10.015245,199.359893
0.671597,9.963016,0.000000,0.032286,-0.148308,0.000000,0.089083,-0.402016,0.000000,9.905030,-0.000000,-0.040565,3.141593,-80.117447,0.000000,1973.967596,1975.592791,10.019046,199.289411
0.738756,9.952100,0.000000,0.038479,-0.176776,0.000000,0.095343,-0.445748,0.000000,9.894694,-0.000000,-0.045019,3.141593,-88.801389,0.000000,1971.210550,1973.209751,10.022266,199.218955
0.805916,9.939171,0.000000,0.045067,-0.208239,0.000000,0.100845,-0.491209,0.000000,9.882440,-0.000000,-0.049664,3.141593,-97.823620,0.000000,1968.073323,1970.502998,10.024734,199.148525
0.873076,9.924025,0.000000,0.051994,-0.242795,0.000000,0.105460,-0.537869,0.000000,9.868315,-0.000000,-0.054451,3.141593,-107.077982,0.000000,1964.565647,1967.481607,10.026429,199.078123
0.940235,9.906453,0.000000,0.059198,-0.280499,0.000000,0.109075,-0.584953,0.000000,9.852631,-0.000000,-0.059301,3.141593,-116.410197,0.000000,1960.749879,1964.202490,10.027463,199.007748
1.007395,9.886243,0.000000,0.066608,-0.321342,0.000000,0.111603,-0.631336,0.000000,9.835958,-0.000000,-0.064099,3.141593,-125.596250,0.000000,1956.739898,1960.766545,10.028046,198.937404
1.074555,9.863189,0.000000,0.074151,-0.365226,0.000000,0.113004,-0.675500,0.000000,9.819087,-0.000000,-0.068686,3.141593,-134.334719,0.000000,1952.693235,1957.308532,10.028420,198.867090
1.141714,9.837091,0.000000,0.081750,-0.411940,0.000000,0.113297,-0.715655,0.000000,9.802945,-0.000000,-0.072875,3.141593,-142.269937,0.000000,1948.794116,1953.980358,10.028823,198.796804
1.208874,9.807773,0.000000,0.089334,-0.461158,0.000000,0.112562,-0.750042,0.000000,9.788455,-0.000000,-0.076476,3.141593,-149.053170,0.000000,1945.225767,1950.928019,10.029448,198.726544
1.276034,9.775079,0.000000,0.096839,-0.512448,0.000000,0.110933,-0.777365,0.000000,9.776360,-0.000000,-0.079348,3.141593,-154.428497,0.000000,1942.135503,1948.265504,10.030433,198.656307
1.343193,9.738888,0.000000,0.104210,-0.565321,0.000000,0.108587,-0.797175,0.000000,9.767065,-0.000000,-0.081438,3.141593,-158.307867,0.000000,1939.603330,1946.053046,10.031853,198.586089
1.410353,9.699109,0.000000,0.111406,-0.619289,0.000000,0.105710,-0.809984,0.000000,9.760569,-0.000000,-0.082796,3.141593,-160.794720,0.000000,1937.628068,1944.288423,10.033734,198.515886
1.477513,9.655683,0.000000,0.118397,-0.673925,0.000000,0.102479,-0.817048,0.000000,9.756516,-0.000000,-0.083549,3.141593,-162.139592,0.000000,1936.138575,1942.915806,10.036060,198.445695
1.544672,9.608577,0.000000,0.125164,-0.728894,0.000000,0.099039,-0.819913,0.000000,9.754351,-0.000000,-0.083859,3.141593,-162.650668,0.000000,1935.024375,1941.848236,10.038789,198.375511
1.611832,9.557775,0.000000,0.131697,-0.783961,0.000000,0.095498,-0.819975,0.000000,9.753496,-0.000000,-0.083873,3.141593,-162.605478,0.000000,1934.170239,1940.993317,10.041860,198.305333
1.678992,9.503277,0.000000,0.137991,-0.838971,0.000000,0.091927,-0.818218,0.000000,9.753469,-0.000000,-0.083694,3.141593,-162.199613,0.000000,1933.480531,1940.272063,10.045207,198.235156
1.746151,9.445091,0.000000,0.144045,-0.893820,0.000000,0.088371,-0.815175,0.000000,9.753935,-0.000000,-0.083380,3.141593,-161.539145,0.000000,1932.888397,1939.626885,10.048761,198.164980
1.813311,9.383228,0.000000,0.149862,-0.948428,0.000000,0.084856,-0.811032,0.000000,9.754690,-0.000000,-0.082952,3.141593,-160.661265,0.000000,1932.353321,1939.020732,10.052455,198.094803
1.880471,9.317709,0.000000,0.155445,-1.002720,0.000000,0.081397,-0.805774,0.000000,9.755623,-0.000000,-0.082409,3.141593,-159.563171,0.000000,1931.853541,1938.431971,10.056228,198.024622
1.947630,9.248557,0.000000,0.160797,-1.056618,0.000000,0.078006,-0.799307,0.000000,9.756681,-0.000000,-0.081741,3.141593,-158.226284,0.000000,1931.378286,1937.848715,10.060025,197.954439
2.014790,9.175801,0.000000,0.165925,-1.110038,0.000000,0.074688,-0.791531,0.000000,9.757836,-0.000000,-0.080940,3.141593,-156.631516,0.000000,1930.922092,1937.264452,10.063798,197.884252
2.081950,9.099476,0.000000,0.170832,-1.162890,0.000000,0.071451,-0.782384,0.000000,9.759071,-0.000000,-0.079999,3.141593,-154.766549,0.000000,1930.481444,1936.675319,10.067507,197.814062
2.149109,9.019624,0.000000,0.175525,-1.215081,0.000000,0.068299,-0.771846,0.000000,9.760369,-0.000000,-0.078915,3.141593,-152.627834,0.000000,1930.053194,1936.078662,10.071119,197.743868
2.216269,8.936293,0.000000,0.180009,-1.266518,0.000000,0.065236,-0.759938,0.000000,9.761715,-0.000000,-0.077692,3.141593,-150.219774,0.000000,1929.634028,1935.472413,10.074606,197.673671
2.283429,8.849535,0.000000,0.184291,-1.317111,0.000000,0.062264,-0.746712,0.000000,9.763090,-0.000000,-0.076335,3.141593,-147.552805,0.000000,1929.220473,1934.854894,10.077951,197.603471
2.350588,8.759410,0.000000,0.188376,-1.366774,0.000000,0.059385,-0.732238,0.000000,9.764477,-0.000000,-0.074850,3.141593,-144.641305,0.000000,1928.809086,1934.224806,10.081137,197.533270
2.417748,8.665984,0.000000,0.192271,-1.415426,0.000000,0.056599,-0.716599,0.000000,9.765860,-0.000000,-0.073247,3.141593,-141.501777,0.000000,1928.396674,1933.581259,10.084158,197.463068
2.484908,8.569328,0.000000,0.195981,-1.462991,0.000000,0.053905,-0.699881,0.000000,9.767225,-0.000000,-0.071534,3.141593,-138.151437,0.000000,1927.980447,1932.923802,10.087008,197.392866
2.552067,8.469515,0.000000,0.199514,-1.509400,0.000000,0.051302,-0.682168,0.000000,9.768559,-0.000000,-0.069720,3.141593,-134.607228,0.000000,1927.558107,1932.252406,10.089687,197.322664
2.619227,8.366627,0.000000,0.202875,-1.554588,0.000000,0.048787,-0.663541,0.000000,9.769854,-0.000000,-0.067813,3.141593,-130.885179,0.000000,1927.127857,1931.567422,10.092197,197.252464
2.686387,8.260747,0.000000,0.206070,-1.598498,0.000000,0.046358,-0.644074,0.000000,9.771104,-0.000000,-0.065821,3.141593,-127.000047,0.000000,1926.688357,1930.869502,10.094543,197.182266
2.753546,8.151963,0.000000,0.209105,-1.641074,0.000000,0.044010,-0.623834,0.000000,9.772302,-0.000000,-0.063750,3.141593,-122.965149,0.000000,1926.238642,1930.159510,10.096732,197.112071
2.820706,8.040365,0.000000,0.211984,-1.682267,0.000000,0.041742,-0.602879,0.000000,9.773445,-0.000000,-0.061607,3.141593,-118.792348,0.000000,1925.778025,1929.438422,10.098768,197.041881
2.887866,7.926050,0.000000,0.214714,-1.722030,0.000000,0.039548,-0.581262,0.000000,9.774531,-0.000000,-0.059397,3.141593,-114.492119,0.000000,1925.305985,1928.707231,10.100659,196.971694
