# GFOLD Solver Information
parameter,value
r_initial_x,0.000000
r_initial_y,0.000000
r_initial_z,10.000000
v_initial_x,0.000000
v_initial_y,0.000000
v_initial_z,0.000000
r_target_x,0.000000
r_target_y,0.000000
r_target_z,0.000000
v_target_x,0.000000
v_target_y,0.000000
v_target_z,0.000000
flight_time,8.140000
v_max,10.000000
g_max,10.000000
lambda_path,0.001000
feastol,1.00e-04
abstol,1.00e-04
reltol,1.00e-04
status_code,0
feasible,true
iterations,10
solve_time_ms,17.184541
primal_residual,4.805228e-10
dual_residual,1.695928e-08
objective,5.248399
