time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,thrust_force_x,thrust_force_y,thrust_force_z,thrust_force_mag,thrust_slack,mass
0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,7.820953,-0.000000,0.000000,0.000000,0.000000,0.000000,1564.190587,1564.190587,7.820953,200.000000
0.068403,0.000000,0.000000,9.988917,0.000000,0.000000,-0.215133,0.000000,0.000000,7.616545,-0.000000,0.000000,0.000000,0.000000,0.000000,1522.703264,1522.703264,7.617364,199.920477
0.136807,0.000000,0.000000,9.955143,0.000000,0.000000,-0.440415,0.000000,0.000000,7.623952,-0.000000,0.000000,0.000000,0.000000,0.000000,1523.585820,1523.585820,7.624783,199.841996
0.205210,0.000000,0.000000,9.898065,0.000000,0.000000,-0.667493,0.000000,0.000000,7.581700,-0.000000,0.000000,0.000000,0.000000,0.000000,1514.548549,1514.548549,7.582524,199.763725
0.273613,0.000000,0.000000,9.818573,0.000000,0.000000,-0.875469,0.000000,0.000000,7.994720,-0.000000,0.000000,0.000000,0.000000,0.000000,1596.414282,1596.414282,7.995544,199.683578
0.342017,0.000000,0.000000,9.719559,0.000000,0.000000,-1.046431,0.000000,0.000000,8.300147,-0.000000,0.000000,0.000000,0.000000,0.000000,1656.707500,1656.707500,8.300979,199.599768
0.410420,0.000000,0.000000,9.604387,0.000000,0.000000,-1.189097,0.000000,0.000000,8.543965,-0.000000,0.000000,0.000000,0.000000,0.000000,1704.633629,1704.633629,8.544798,199.513171
0.478824,0.000000,0.000000,9.475726,0.000000,0.000000,-1.308240,0.000000,0.000000,8.756726,-0.000000,0.000000,0.000000,0.000000,0.000000,1746.303571,1746.303571,8.757561,199.424266
0.547227,0.000000,0.000000,9.335876,0.000000,0.000000,-1.406292,0.000000,0.000000,8.953364,-0.000000,0.000000,0.000000,0.000000,0.000000,1784.703564,1784.703564,8.954201,199.333299
0.615630,0.000000,0.000000,9.186894,0.000000,0.000000,-1.485498,0.000000,0.000000,9.122514,-0.000000,0.000000,0.000000,0.000000,0.000000,1817.574136,1817.574136,9.123351,199.240495
0.684034,0.000000,0.000000,9.030556,0.000000,0.000000,-1.549071,0.000000,0.000000,9.256816,-0.000000,0.000000,0.000000,0.000000,0.000000,1843.459614,1843.459614,9.257653,199.146178
0.752437,0.000000,0.000000,8.868299,0.000000,0.000000,-1.600396,0.000000,0.000000,9.360242,-0.000000,0.000000,0.000000,0.000000,0.000000,1863.162628,1863.162628,9.361077,199.050686
0.820840,0.000000,0.000000,8.701240,0.000000,0.000000,-1.642273,0.000000,0.000000,9.440230,-0.000000,0.000000,0.000000,0.000000,0.000000,1878.174357,1878.174357,9.441063,198.954301
0.889244,0.000000,0.000000,8.530246,0.000000,0.000000,-1.676776,0.000000,0.000000,9.503352,-0.000000,0.000000,0.000000,0.000000,0.000000,1889.810281,1889.810281,9.504183,198.857229
0.957647,0.000000,0.000000,8.356000,0.000000,0.000000,-1.705394,0.000000,0.000000,9.554452,-0.000000,0.000000,0.000000,0.000000,0.000000,1899.039158,1899.039158,9.555281,198.759620
1.026050,0.000000,0.000000,8.179053,0.000000,0.000000,-1.729193,0.000000,0.000000,9.596900,-0.000000,0.000000,0.000000,0.000000,0.000000,1906.535254,1906.535254,9.597726,198.661579
1.094454,0.000000,0.000000,7.999863,0.000000,0.000000,-1.748945,0.000000,0.000000,9.633018,-0.000000,0.000000,0.000000,0.000000,0.000000,1912.762681,1912.762681,9.633841,198.563186
1.162857,0.000000,0.000000,7.818817,0.000000,0.000000,-1.765218,0.000000,0.000000,9.664416,-0.000000,0.000000,0.000000,0.000000,0.000000,1918.043519,1918.043519,9.665237,198.464496
1.231261,0.000000,0.000000,7.636252,0.000000,0.000000,-1.778440,0.000000,0.000000,9.692232,-0.000000,0.000000,0.000000,0.000000,0.000000,1922.604955,1922.604955,9.693049,198.365552
1.299664,0.000000,0.000000,7.452464,0.000000,0.000000,-1.788939,0.000000,0.000000,9.717282,-0.000000,0.000000,0.000000,0.000000,0.000000,1926.610322,1926.610322,9.718095,198.266388
1.368067,0.000000,0.000000,7.267721,0.000000,0.000000,-1.796969,0.000000,0.000000,9.740164,-0.000000,0.000000,0.000000,0.000000,0.000000,1930.179328,1930.179328,9.740973,198.167029
